#Compound List: 5149 found
#
Show/Hide;Label;RT;Height;Area;Base Peak;File;Precursor;Width;Ions;Cpd
True;Cpd 77: 419.271;419.271;5280;308794;368;D:\g\temp\60C_1ml-min_0,25C-min_1.D;368;1.851;2;77;
True;Cpd 78: 419.280;419.28;5035;324554;143;D:\g\temp\60C_1ml-min_0,25C-min_1.D;143;1.867;2;78;
True;Cpd 79: 419.342;419.342;5171;396394;67;D:\g\temp\60C_1ml-min_0,25C-min_1.D;67;1.801;3;79;
True;Cpd 80: 419.358;419.358;4366;138240;75;D:\g\temp\60C_1ml-min_0,25C-min_1.D;75;0.907;2;80;
True;Cpd 81: 440.847;440.847;8428;514409;143;D:\g\temp\60C_1ml-min_0,25C-min_1.D;143;2.218;2;81;
True;Cpd 82: 440.810;440.81;10790;1099774;75;D:\g\temp\60C_1ml-min_0,25C-min_1.D;75;2.308;4;82;
True;Cpd 83: 440.788;440.788;10871;803368;382;D:\g\temp\60C_1ml-min_0,25C-min_1.D;382;2.312;3;83;
True;Cpd 84: 440.839;440.839;28991;2296823;74;D:\g\temp\60C_1ml-min_0,25C-min_1.D;74;2.72;5;84;
True;Cpd 85: 440.809;440.809;1466;95903;340;D:\g\temp\60C_1ml-min_0,25C-min_1.D;340;1.228;2;85;
True;Cpd 86: 447.063;447.063;3386;153294;55;D:\g\temp\60C_1ml-min_0,25C-min_1.D;55;0.829;3;86;
True;Cpd 87: 447.120;447.12;3456;331119;83;D:\g\temp\60C_1ml-min_0,25C-min_1.D;83;1.756;3;87;
True;Cpd 88: 447.136;447.136;2281;125023;74;D:\g\temp\60C_1ml-min_0,25C-min_1.D;74;1.274;2;88;

